Storm_ID,Year,Storm_Name,Basin,Date,Time_UTC,Latitude,Longitude,Max_Sustained_Wind_kt,Wind_Speed_kmh,Central_Pressure_hPa,IMD_Grade,Landfall_District,Landfall_State,Rainfall_mm,Affected_Areas,Number_of_Deaths,Numbers_of_Missing
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-01,00:00,10.76,70.93,20.8,38.6,1003.4,D (Depression),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-01,06:00,10.91,70.92,21.6,40.0,1002.8,D (Depression),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-01,12:00,11.07,70.92,22.6,41.8,1002.3,D (Depression),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-01,18:00,11.27,70.89,23.6,43.7,1001.6,D (Depression),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-02,00:00,11.41,70.87,24.5,45.4,1001.1,D (Depression),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-02,06:00,11.54,70.85,25.4,47.0,1000.4,D (Depression),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-02,12:00,11.66,70.78,26.2,48.5,1000.0,D (Depression),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-02,18:00,11.82,70.75,27.1,50.3,999.3,D (Depression),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-03,00:00,11.93,70.75,27.9,51.7,998.6,D (Depression),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-03,06:00,12.07,70.67,28.7,53.2,998.0,DD (Deep Depression),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-03,12:00,12.22,70.62,29.6,54.9,997.3,DD (Deep Depression),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-03,18:00,12.37,70.59,30.5,56.5,996.8,DD (Deep Depression),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-04,00:00,12.52,70.58,31.5,58.3,996.3,DD (Deep Depression),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-04,06:00,12.7,70.56,32.3,59.8,995.7,DD (Deep Depression),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-04,12:00,12.83,70.57,33.1,61.2,995.1,DD (Deep Depression),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-04,18:00,13.03,70.48,33.8,62.6,994.6,DD (Deep Depression),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-05,00:00,13.16,70.44,34.7,64.3,994.1,CS (Cyclonic Storm),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-05,06:00,13.37,70.39,35.4,65.6,993.5,CS (Cyclonic Storm),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-05,12:00,13.57,70.38,36.3,67.3,992.8,CS (Cyclonic Storm),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-05,18:00,13.73,70.42,37.2,68.8,992.3,CS (Cyclonic Storm),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-06,00:00,13.91,70.4,38.0,70.4,991.7,CS (Cyclonic Storm),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-06,06:00,14.1,70.4,39.0,72.1,991.0,CS (Cyclonic Storm),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-06,12:00,14.29,70.34,39.9,73.8,990.4,CS (Cyclonic Storm),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-06,18:00,14.47,70.27,40.9,75.8,989.8,CS (Cyclonic Storm),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-07,00:00,14.59,70.19,41.7,77.2,989.1,CS (Cyclonic Storm),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-07,06:00,14.79,70.15,42.4,78.6,988.7,CS (Cyclonic Storm),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-07,12:00,14.93,70.12,43.3,80.2,988.1,CS (Cyclonic Storm),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-07,18:00,15.14,70.09,44.4,82.2,987.6,CS (Cyclonic Storm),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-08,00:00,15.31,70.06,45.4,84.2,987.0,CS (Cyclonic Storm),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-08,06:00,15.48,70.02,46.4,86.0,986.5,CS (Cyclonic Storm),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
NIO-1995-01-UNNA,1995,Unnamed-1,ARB,1995-04-08,12:00,15.64,69.98,47.2,87.5,986.0,CS (Cyclonic Storm),Srikakulam,Andhra Pradesh,100,Coastal Srikakulam,3,0
